Date,Value
2025-10-28,60.97
2025-10-29,61.26
2025-10-30,61.36
2025-10-31,61.75
2025-11-03,61.79
2025-11-04,61.38
2025-11-05,60.4
2025-11-06,60.24
2025-11-07,60.54
2025-11-10,60.94
2025-11-12,59.3
2025-11-13,59.54
2025-11-14,60.87
2025-11-17,60.66
2025-11-18,61.51
2025-11-19,60.27
2025-11-20,60.07
2025-11-21,58.86
2025-11-24,59.11
2025-11-25,58.25
2025-11-26,58.81
2025-11-28,58.58
2025-12-01,59.47
2025-12-02,58.81
2025-12-03,59.09
2025-12-04,59.82
2025-12-05,60.23
2025-12-08,59.04
2025-12-09,58.4
2025-12-10,58.67
2025-12-11,57.76
2025-12-12,57.61
2025-12-15,56.97
2025-12-16,55.44
2025-12-17,56.07
2025-12-18,56.22
2025-12-19,56.8
2025-12-22,58.18
2025-12-23,58.55
2025-12-24,58.72
2025-12-26,56.6
2025-12-29,57.89
2025-12-30,57.79
2025-12-31,57.26
2026-01-02,57.21
2026-01-05,58.1
2026-01-06,56.97
2026-01-07,56.01
2026-01-08,57.74
2026-01-09,58.96
2026-01-12,59.39
2026-01-13,60.85
2026-01-14,61.84
2026-01-15,59.13
2026-01-16,59.4
2026-01-20,60.3
2026-01-21,60.38
2026-01-22,59.24
2026-01-23,60.7
2026-01-26,60.46
