Date,Value
2025-10-31,51.802
2025-11-03,23.792
2025-11-04,16.983
2025-11-05,12.814
2025-11-06,10.754
2025-11-07,4.903
2025-11-10,7.152
2025-11-12,5.886
2025-11-13,3.761
2025-11-14,1.559
2025-11-17,3.172
2025-11-18,0.905
2025-11-19,1.129
2025-11-20,6.52
2025-11-21,2.503
2025-11-24,1.077
2025-11-25,2.314
2025-11-26,2.217
2025-11-28,7.561
2025-12-01,3.24
2025-12-02,5.62
2025-12-03,2.514
2025-12-04,2.233
2025-12-05,1.485
2025-12-08,1.703
2025-12-09,3.211
2025-12-10,5.045
2025-12-11,2.874
2025-12-12,0.838
2025-12-15,2.601
2025-12-16,1.554
2025-12-17,10.361
2025-12-18,11.708
2025-12-19,3.047
2025-12-22,1.523
2025-12-23,5.893
2025-12-24,4.803
2025-12-26,20.339
2025-12-29,10.551
2025-12-30,12.605
2025-12-31,105.993
2026-01-02,5.667
2026-01-05,6.485
2026-01-06,2.582
2026-01-07,4.582
2026-01-08,3.083
2026-01-09,3.28
2026-01-12,3.402
2026-01-13,3.277
2026-01-14,3.223
2026-01-15,2.003
2026-01-16,1.222
2026-01-20,3.506
2026-01-21,3.344
2026-01-22,2.058
2026-01-23,0.927
2026-01-26,1.489
2026-01-27,1.253
2026-01-28,1.103
2026-01-29,2.852
2026-01-30,9.629
2026-02-02,10.415
