Date,Value
2025-11-12,2.27
2025-11-13,2.28
2025-11-14,2.28
2025-11-17,2.28
2025-11-18,2.27
2025-11-19,2.27
2025-11-20,2.24
2025-11-21,2.24
2025-11-24,2.23
2025-11-25,2.22
2025-11-26,2.23
2025-11-28,2.23
2025-12-01,2.24
2025-12-02,2.24
2025-12-03,2.24
2025-12-04,2.26
2025-12-05,2.26
2025-12-08,2.26
2025-12-09,2.26
2025-12-10,2.25
2025-12-11,2.25
2025-12-12,2.26
2025-12-15,2.25
2025-12-16,2.23
2025-12-17,2.24
2025-12-18,2.24
2025-12-19,2.24
2025-12-22,2.23
2025-12-23,2.24
2025-12-24,2.24
2025-12-26,2.23
2025-12-29,2.22
2025-12-30,2.24
2025-12-31,2.25
2026-01-02,2.25
2026-01-05,2.26
2026-01-06,2.27
2026-01-07,2.27
2026-01-08,2.27
2026-01-09,2.28
2026-01-12,2.29
2026-01-13,2.3
2026-01-14,2.29
2026-01-15,2.29
2026-01-16,2.33
2026-01-20,2.33
2026-01-21,2.34
2026-01-22,2.31
2026-01-23,2.32
2026-01-26,2.32
2026-01-27,2.34
2026-01-28,2.36
2026-01-29,2.35
2026-01-30,2.36
2026-02-02,2.35
2026-02-03,2.36
2026-02-04,2.35
2026-02-05,2.32
2026-02-06,2.34
2026-02-09,2.35
2026-02-10,2.32
2026-02-11,2.32
