Date,Value
2025-11-27,0.82
2025-11-28,0.82
2025-11-30,0.82
2025-12-01,0.82
2025-12-02,0.81
2025-12-03,0.81
2025-12-04,0.8
2025-12-05,0.79
2025-12-08,0.78
2025-12-09,0.79
2025-12-10,0.78
2025-12-11,0.78
2025-12-12,0.8
2025-12-15,0.8
2025-12-16,0.81
2025-12-17,0.81
2025-12-18,0.81
2025-12-19,0.8
2025-12-22,0.8
2025-12-23,0.79
2025-12-24,0.79
2025-12-26,0.79
2025-12-29,0.79
2025-12-30,0.79
2025-12-31,0.79
2026-01-02,0.79
2026-01-05,0.79
2026-01-06,0.79
2026-01-07,0.79
2026-01-08,0.79
2026-01-09,0.78
2026-01-12,0.78
2026-01-13,0.77
2026-01-14,0.77
2026-01-15,0.76
2026-01-16,0.75
2026-01-19,0.75
2026-01-20,0.75
2026-01-21,0.74
2026-01-22,0.73
2026-01-23,0.73
2026-01-26,0.74
2026-01-27,0.73
2026-01-28,0.73
2026-01-29,0.74
2026-01-30,0.74
2026-01-31,0.75
2026-02-02,0.74
2026-02-03,0.74
2026-02-04,0.75
2026-02-05,0.76
2026-02-06,0.76
2026-02-09,0.76
2026-02-10,0.77
2026-02-11,0.77
2026-02-12,0.78
2026-02-13,0.79
2026-02-16,0.79
2026-02-17,0.8
2026-02-18,0.78
2026-02-19,0.79
2026-02-20,0.78
2026-02-23,0.8
2026-02-24,0.81
2026-02-25,0.8
