Date,Value
2025-11-26,0.55
2025-11-28,0.55
2025-12-01,0.55
2025-12-02,0.58
2025-12-03,0.57
2025-12-04,0.59
2025-12-05,0.58
2025-12-08,0.6
2025-12-09,0.57
2025-12-10,0.59
2025-12-11,0.62
2025-12-12,0.67
2025-12-15,0.67
2025-12-16,0.67
2025-12-17,0.67
2025-12-18,0.66
2025-12-19,0.68
2025-12-22,0.73
2025-12-23,0.7
2025-12-24,0.68
2025-12-26,0.68
2025-12-29,0.67
2025-12-30,0.69
2025-12-31,0.71
2026-01-02,0.72
2026-01-05,0.71
2026-01-06,0.71
2026-01-07,0.68
2026-01-08,0.7
2026-01-09,0.64
2026-01-12,0.65
2026-01-13,0.65
2026-01-14,0.64
2026-01-15,0.61
2026-01-16,0.65
2026-01-20,0.7
2026-01-21,0.66
2026-01-22,0.65
2026-01-23,0.64
2026-01-26,0.66
2026-01-27,0.71
2026-01-28,0.7
2026-01-29,0.71
2026-01-30,0.74
2026-02-02,0.72
2026-02-03,0.71
2026-02-04,0.72
2026-02-05,0.74
2026-02-06,0.72
2026-02-09,0.74
2026-02-10,0.71
2026-02-11,0.66
2026-02-12,0.62
2026-02-13,0.64
2026-02-17,0.62
2026-02-18,0.62
2026-02-19,0.61
2026-02-20,0.6
2026-02-23,0.6
2026-02-24,0.61
2026-02-25,0.6
2026-02-26,0.6
